Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
2021-05-21;10;Österreich;5470922;;5470922;3196371
2021-05-22;1;Burgenland;358615;;358615;255670
2021-05-22;2;Kärnten;290008;;290008;126987
2021-05-22;3;Niederösterreich;643551;;643551;770316
2021-05-22;4;Oberösterreich;550609;;550609;481552
2021-05-22;5;Salzburg;389803;;389803;164991
2021-05-22;6;Steiermark;870641;;870641;647146
2021-05-22;7;Tirol;472727;;472727;109731
2021-05-22;8;Vorarlberg;427684;;427684;99977
2021-05-22;9;Wien;1659785;;1659785;601369
2021-05-22;10;Österreich;5663423;;5663423;3257739
2021-05-23;1;Burgenland;364389;;364389;257064
2021-05-23;2;Kärnten;295551;;295551;128819
2021-05-23;3;Niederösterreich;656911;;656911;777082
2021-05-23;4;Oberösterreich;559448;;559448;482949
2021-05-23;5;Salzburg;395381;;395381;165675
2021-05-23;6;Steiermark;885158;;885158;649310
2021-05-23;7;Tirol;479591;;479591;111164
2021-05-23;8;Vorarlberg;438914;;438914;100254
2021-05-23;9;Wien;1687138;;1687138;604043
2021-05-23;10;Österreich;5762481;;5762481;3276360
2021-05-24;1;Burgenland;365958;;365958;257500
2021-05-24;2;Kärnten;296270;;296270;129235
2021-05-24;3;Niederösterreich;658217;;658217;779519
2021-05-24;4;Oberösterreich;560212;;560212;483804
2021-05-24;5;Salzburg;395791;;395791;166209
2021-05-24;6;Steiermark;886216;;886216;650634
2021-05-24;7;Tirol;480468;;480468;111837
2021-05-24;8;Vorarlberg;444491;;444491;100307
2021-05-24;9;Wien;1689555;;1689555;604783
2021-05-24;10;Österreich;5777178;;5777178;3283828
2021-05-25;1;Burgenland;367992;;367992;258299
2021-05-25;2;Kärnten;297417;;297417;130174
2021-05-25;3;Niederösterreich;660463;;660463;784323
2021-05-25;4;Oberösterreich;561173;;561173;486446
2021-05-25;5;Salzburg;396440;;396440;167418
2021-05-25;6;Steiermark;888249;;888249;653651
2021-05-25;7;Tirol;481750;;481750;112480
2021-05-25;8;Vorarlberg;448890;;448890;100586
2021-05-25;9;Wien;1693820;;1693820;606802
2021-05-25;10;Österreich;5796194;;5796194;3300179
2021-05-26;1;Burgenland;376757;;376757;262434
2021-05-26;2;Kärnten;305315;;305315;134202
2021-05-26;3;Niederösterreich;678973;;678973;804209
2021-05-26;4;Oberösterreich;575037;;575037;500544
2021-05-26;5;Salzburg;405317;;405317;172243
2021-05-26;6;Steiermark;914401;;914401;670658
2021-05-26;7;Tirol;492785;;492785;114287
2021-05-26;8;Vorarlberg;456544;;456544;102222
2021-05-26;9;Wien;1752953;;1752953;622040
2021-05-26;10;Österreich;5958082;;5958082;3382839
2021-05-27;1;Burgenland;382813;;382813;265589
2021-05-27;2;Kärnten;311478;;311478;136528
2021-05-27;3;Niederösterreich;692099;;692099;817806
2021-05-27;4;Oberösterreich;584485;;584485;507930
2021-05-27;5;Salzburg;411332;;411332;175078
2021-05-27;6;Steiermark;934136;;934136;680781
2021-05-27;7;Tirol;500560;;500560;116476
2021-05-27;8;Vorarlberg;462316;;462316;103595
2021-05-27;9;Wien;1799152;;1799152;633330
2021-05-27;10;Österreich;6078371;;6078371;3438514
2021-05-28;1;Burgenland;389526;;389526;268577
2021-05-28;2;Kärnten;317320;;317320;139525
2021-05-28;3;Niederösterreich;705598;;705598;834273
2021-05-28;4;Oberösterreich;594527;;594527;518393
2021-05-28;5;Salzburg;417666;;417666;178168
2021-05-28;6;Steiermark;953545;;953545;691674
2021-05-28;7;Tirol;508622;;508622;118673
2021-05-28;8;Vorarlberg;468392;;468392;104716
2021-05-28;9;Wien;1844747;;1844747;645292
2021-05-28;10;Österreich;6199943;;6199943;3499291
2021-05-29;1;Burgenland;401230;;401230;271266
2021-05-29;2;Kärnten;329364;;329364;143576
2021-05-29;3;Niederösterreich;732647;;732647;849414
2021-05-29;4;Oberösterreich;612070;;612070;526574
2021-05-29;5;Salzburg;428863;;428863;181390
2021-05-29;6;Steiermark;988163;;988163;704132
2021-05-29;7;Tirol;525436;;525436;121066
2021-05-29;8;Vorarlberg;482799;;482799;106595
2021-05-29;9;Wien;1916338;;1916338;653713
2021-05-29;10;Österreich;6416910;;6416910;3557726
2021-05-30;1;Burgenland;402625;;402625;272519
2021-05-30;2;Kärnten;331069;;331069;145037
2021-05-30;3;Niederösterreich;738579;;738579;857002
2021-05-30;4;Oberösterreich;613944;;613944;527439
2021-05-30;5;Salzburg;429275;;429275;181866
2021-05-30;6;Steiermark;993821;;993821;705953
2021-05-30;7;Tirol;526526;;526526;122435
2021-05-30;8;Vorarlberg;487873;;487873;106904
2021-05-30;9;Wien;1929723;;1929723;655368
2021-05-30;10;Österreich;6453435;;6453435;3574523
2021-05-31;1;Burgenland;403922;;403922;273220
2021-05-31;2;Kärnten;331482;;331482;145826
2021-05-31;3;Niederösterreich;740313;;740313;861723
2021-05-31;4;Oberösterreich;614630;;614630;529729
2021-05-31;5;Salzburg;429708;;429708;182528
2021-05-31;6;Steiermark;995444;;995444;708979
2021-05-31;7;Tirol;526926;;526926;128118
2021-05-31;8;Vorarlberg;492605;;492605;107308
2021-05-31;9;Wien;1932898;;1932898;657067
2021-05-31;10;Österreich;6467928;;6467928;3594498
2021-06-01;1;Burgenland;411322;;411322;278429
2021-06-01;2;Kärnten;338409;;338409;150042
2021-06-01;3;Niederösterreich;756877;;756877;881777
2021-06-01;4;Oberösterreich;625693;;625693;545466
2021-06-01;5;Salzburg;436883;;436883;186932
2021-06-01;6;Steiermark;1018496;;1018496;727776
2021-06-01;7;Tirol;536736;;536736;130865
2021-06-01;8;Vorarlberg;499557;;499557;108973
2021-06-01;9;Wien;1990287;;1990287;675148
2021-06-01;10;Österreich;6614260;;6614260;3685408
2021-06-02;1;Burgenland;416777;;416777;283655
