"Stamp","Date","RegionID","Region","Population","newConfirmed","rmaConfirmed","newConfPop","newRecovered","newDeaths","sumConfirmed","sumRecovered","sumDeaths"
2020-08-30,2020-08-30,413,"Rohrbach",56545,2,14,3.53700592448492,0.571428571428571,0,205,185,0
2020-08-30,2020-08-30,102,"Rust(Stadt)",1980,0,0,0,0,0,1,1,0
2020-08-30,2020-08-30,503,"Salzburg-Umgebung",153492,1.85714285714286,13,1.20992811165589,3,0,333,304,11
2020-08-30,2020-08-30,501,"Salzburg(Stadt)",155021,4.14285714285714,29,2.67244898617422,3.85714285714286,0,311,251,1
2020-08-30,2020-08-30,504,"Sankt Johann im Pongau",81194,1,7,1.2316180998596,1.28571428571429,0,475,446,16
2020-08-30,2020-08-30,319,"Sankt Pölten(Land)",131729,2,14,1.51826856652673,1.57142857142857,0,358,321,11
2020-08-30,2020-08-30,302,"Sankt Pölten(Stadt)",55514,1.28571428571429,9,2.31601809582139,0.428571428571429,0,134,120,3
2020-08-30,2020-08-30,205,"Sankt Veit an der Glan",54186,0,0,6.34413156928661e-17,0.142857142857143,0,64,64,0
2020-08-30,2020-08-30,414,"Schärding",57391,0.285714285714286,2,0.497838137886229,0.285714285714286,0,76,71,1
2020-08-30,2020-08-30,320,"Scheibbs",41414,0,0,6.34413156928661e-16,0.142857142857143,0,113,111,1
2020-08-30,2020-08-30,709,"Schwaz",84329,2.57142857142857,18,3.04928147070233,3.71428571428571,0,437,395,14
2020-08-30,2020-08-30,206,"Spittal an der Drau",75868,0,0,3.1720657846433e-17,1.57142857142857,0,67,64,1
2020-08-30,2020-08-30,415,"Steyr-Land",60717,0.714285714285714,5,1.17641799543079,2.14285714285714,0,232,219,7
2020-08-30,2020-08-30,402,"Steyr(Stadt)",38056,1.14285714285714,8,3.00309318598156,2.42857142857143,0,112,100,2
2020-08-30,2020-08-30,623,"Südoststeiermark",84036,0.428571428571429,3,0.509985516411334,0.142857142857143,0,79,72,2
2020-08-30,2020-08-30,505,"Tamsweg",20251,0,0,-1.26882631385732e-16,0,0,27,26,1
2020-08-30,2020-08-30,321,"Tulln",104593,2.42857142857143,17,2.32192539517121,1.71428571428571,0,253,226,6
2020-08-30,2020-08-30,416,"Urfahr-Umgebung",86005,1,7,1.16272309749433,1.42857142857143,0,373,348,5
2020-08-30,2020-08-30,207,"Villach Land",64618,0,0,0,2.42857142857143,0,75,70,2
2020-08-30,2020-08-30,202,"Villach Stadt",62882,0.714285714285714,5,1.13591443383753,1,0,59,49,0
2020-08-30,2020-08-30,417,"Vöcklabruck",137297,2.57142857142857,18,1.8728949441201,4,0,244,216,4
2020-08-30,2020-08-30,616,"Voitsberg",51044,0.285714285714286,2,0.559741175680366,0.428571428571429,0,110,103,5
2020-08-30,2020-08-30,208,"Völkermarkt",41862,0.142857142857143,1,0.341257328501129,0.285714285714286,0,59,54,3
2020-08-30,2020-08-30,322,"Waidhofen an der Thaya",25682,0.571428571428571,4,2.22501585323795,0.142857142857143,0,82,76,2
2020-08-30,2020-08-30,303,"Waidhofen an der Ybbs(Stadt)",11222,0,0,0,0,0,27,23,3
2020-08-30,2020-08-30,617,"Weiz",90654,1,7,1.10309528537075,0.857142857142857,0,228,196,18
2020-08-30,2020-08-30,418,"Wels-Land",73777,2.42857142857143,17,3.29177308452692,2.57142857142857,0,189,154,1
2020-08-30,2020-08-30,403,"Wels(Stadt)",62470,4.85714285714286,34,7.77516064853987,4.57142857142857,0,251,193,0
2020-08-30,2020-08-30,900,"Wien",1911191,124,868,6.48810087531806,97,0.142857142857143,7959,6116,225
2020-08-30,2020-08-30,323,"Wiener Neustadt(Land)",78307,2.85714285714286,20,3.64864297846024,1.14285714285714,0,147,121,6
2020-08-30,2020-08-30,304,"Wiener Neustadt(Stadt)",45823,2.71428571428571,19,5.92341338254962,0.428571428571429,0,124,98,0
2020-08-30,2020-08-30,209,"Wolfsberg",52607,0.142857142857143,1,0.271555387794672,1.14285714285714,0,70,64,2
2020-08-30,2020-08-30,506,"Zell am See",87628,1.57142857142857,11,1.79329503289881,0.571428571428571,0,390,369,9
2020-08-30,2020-08-30,325,"Zwettl",41987,0,0,0,0,0,85,79,3
2020-08-31,2020-08-31,305,"Amstetten",116520,1.28571428571429,9,1.10342798293365,1.28571428571429,0,342,318,16
2020-08-31,2020-08-31,306,"Baden",146751,4,28,2.72570544664091,4.14285714285714,0,320,272,4
2020-08-31,2020-08-31,801,"Bludenz",64107,0.857142857142857,6,1.33705033325979,2.42857142857143,0,318,303,4
2020-08-31,2020-08-31,404,"Braunau am Inn",105553,3,21,2.8421740736881,3.28571428571429,0,233,197,3
2020-08-31,2020-08-31,802,"Bregenz",134987,2.14285714285714,15,1.58745445328598,1.14285714285714,0,341,306,10
2020-08-31,2020-08-31,307,"Bruck an der Leitha",103735,3.28571428571429,23,3.16741146740665,2.85714285714286,0,216,179,5
2020-08-31,2020-08-31,621,"Bruck-Mürzzuschlag",98697,1.42857142857143,10,1.44743146050177,1.42857142857143,0,106,88,6
2020-08-31,2020-08-31,603,"Deutschlandsberg",60867,0.857142857142857,6,1.40822261183048,0,0,61,52,2
