Stamp,Status,Region,Count
2020-03-26 15:00:00,Confirmed,Braunau_am_Inn,31
2020-03-26 15:00:00,Confirmed,Bregenz,111
2020-03-26 15:00:00,Confirmed,Bruck_an_der_Leitha,28
2020-03-26 15:00:00,Confirmed,Bruck-Mürzzuschlag,25
2020-03-26 15:00:00,Confirmed,Deutschlandsberg,13
2020-03-26 15:00:00,Confirmed,Dornbirn,74
2020-03-26 15:00:00,Confirmed,Eferding,22
2020-03-26 15:00:00,Confirmed,Eisenstadt_Stadt,8
2020-03-26 15:00:00,Confirmed,Eisenstadt-Umgebung,11
2020-03-26 15:00:00,Confirmed,Feldkirch,133
2020-03-26 15:00:00,Confirmed,Feldkirchen,6
2020-03-26 15:00:00,Confirmed,Freistadt,60
2020-03-26 15:00:00,Confirmed,Gänserndorf,35
2020-03-26 15:00:00,Confirmed,Gmünd,4
2020-03-26 15:00:00,Confirmed,Gmunden,33
2020-03-26 15:00:00,Confirmed,Graz_Stadt,174
2020-03-26 15:00:00,Confirmed,Graz-Umgebung,72
2020-03-26 15:00:00,Confirmed,Grieskirchen,22
2020-03-26 15:00:00,Confirmed,Gröbming,22
2020-03-26 15:00:00,Confirmed,Güssing,3
2020-03-26 15:00:00,Confirmed,Hallein,38
2020-03-26 15:00:00,Confirmed,Hartberg-Fürstenfeld,145
2020-03-26 15:00:00,Confirmed,Hermagor,3
2020-03-26 15:00:00,Confirmed,Hollabrunn,6
2020-03-26 15:00:00,Confirmed,Horn,5
2020-03-26 15:00:00,Confirmed,Imst,128
2020-03-26 15:00:00,Confirmed,Innsbruck-Land,202
2020-03-26 15:00:00,Confirmed,Innsbruck-Stadt,278
2020-03-26 15:00:00,Confirmed,Jennersdorf,5
2020-03-26 15:00:00,Confirmed,Kirchdorf_an_der_Krems,27
2020-03-26 15:00:00,Confirmed,Kitzbühel,150
2020-03-26 15:00:00,Confirmed,Klagenfurt_Land,23
2020-03-26 15:00:00,Confirmed,Klagenfurt_Stadt,39
2020-03-26 15:00:00,Confirmed,Korneuburg,87
2020-03-26 15:00:00,Confirmed,Krems_an_der_Donau_Stadt,10
2020-03-26 15:00:00,Confirmed,Krems_Land,67
2020-03-26 15:00:00,Confirmed,Kufstein,182
2020-03-26 15:00:00,Confirmed,Landeck,503
2020-03-26 15:00:00,Confirmed,Leibnitz,87
2020-03-26 15:00:00,Confirmed,Leoben,16
2020-03-26 15:00:00,Confirmed,Lienz,62
2020-03-26 15:00:00,Confirmed,Liezen,25
2020-03-26 15:00:00,Confirmed,Lilienfeld,15
2020-03-26 15:00:00,Confirmed,Linz_Stadt,151
2020-03-26 15:00:00,Confirmed,Linz-Land,106
2020-03-26 15:00:00,Confirmed,Mattersburg,14
2020-03-26 15:00:00,Confirmed,Melk,51
2020-03-26 15:00:00,Confirmed,Mistelbach,55
2020-03-26 15:00:00,Confirmed,Mödling,83
2020-03-26 15:00:00,Confirmed,Murau,1
2020-03-26 15:00:00,Confirmed,Murtal,19
2020-03-26 15:00:00,Confirmed,Neunkirchen,90
2020-03-26 15:00:00,Confirmed,Neusiedl_am_See,27
2020-03-26 15:00:00,Confirmed,Oberpullendorf,9
2020-03-26 15:00:00,Confirmed,Oberwart,40
2020-03-26 15:00:00,Confirmed,Perg,161
