country,state,county,cases,deaths,recovered,tested,tests,public_tests,private_tests,hospitalized,presumed_cases,monitoring,Attribution,AttributionURL,publication_date,scrape_date,source_links
Austria,ALL,Sankt_Pölten_Land,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Sankt_Pölten_Stadt,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Sankt_Veit_an_der_Glan,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Schärding,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Scheibbs,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Schwaz,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Spittal_an_der_Drau,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Steyr_Stadt,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Steyr-Land,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Südoststeiermark,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Tamsweg,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Tulln,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
