Datum;BundeslandID;Bevölkerung;Name;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100;Gruppe_<15_M_1;Gruppe_<15_W_1;Gruppe_<15_D_1;Gruppe_15-24_M_1;Gruppe_15-24_W_1;Gruppe_15-24_D_1;Gruppe_25-34_M_1;Gruppe_25-34_W_1;Gruppe_25-34_D_1;Gruppe_35-44_M_1;Gruppe_35-44_W_1;Gruppe_35-44_D_1;Gruppe_45-54_M_1;Gruppe_45-54_W_1;Gruppe_45-54_D_1;Gruppe_55-64_M_1;Gruppe_55-64_W_1;Gruppe_55-64_D_1;Gruppe_65-74_M_1;Gruppe_65-74_W_1;Gruppe_65-74_D_1;Gruppe_75-84_M_1;Gruppe_75-84_W_1;Gruppe_75-84_D_1;Gruppe_>84_M_1;Gruppe_>84_W_1;Gruppe_>84_D_1;Gruppe_<15_M_2;Gruppe_<15_W_2;Gruppe_<15_D_2;Gruppe_15-24_M_2;Gruppe_15-24_W_2;Gruppe_15-24_D_2;Gruppe_25-34_M_2;Gruppe_25-34_W_2;Gruppe_25-34_D_2;Gruppe_35-44_M_2;Gruppe_35-44_W_2;Gruppe_35-44_D_2;Gruppe_45-54_M_2;Gruppe_45-54_W_2;Gruppe_45-54_D_2;Gruppe_55-64_M_2;Gruppe_55-64_W_2;Gruppe_55-64_D_2;Gruppe_65-74_M_2;Gruppe_65-74_W_2;Gruppe_65-74_D_2;Gruppe_75-84_M_2;Gruppe_75-84_W_2;Gruppe_75-84_D_2;Gruppe_>84_M_2;Gruppe_>84_W_2;Gruppe_>84_D_2;Gruppe_NichtZuordenbar;EingetrageneImpfungenBioNTechPfizer_1;EingetrageneImpfungenModerna_1;EingetrageneImpfungenAstraZeneca_1;EingetrageneImpfungenBioNTechPfizer_2;EingetrageneImpfungenModerna_2;EingetrageneImpfungenAstraZeneca_2;EingetrageneImpfungenJanssen;ImpfstoffNichtZugeordnet_1;ImpfstoffNichtZugeordnet_2
2021-10-27T23:59:59+02:00;9;1920949;Wien;2356978;122.6986245;1262738;65.73511322;1194049;62.15932854;12240;11610;1;72419;72282;6;113701;110214;5;102613;101748;7;98297;103532;0;96435;98136;0;57698;71420;0;44729;62040;0;11082;22523;0;9841;9574;1;65692;65990;6;106754;103073;4;96945;95584;7;93637;98396;0;92784;94424;0;56012;69342;0;43615;60341;0;10623;21404;0;0;865054;138049;159226;814608;132663;146251;99887;600;640
2021-10-27T23:59:59+02:00;10;8932664;Österreich;11174903;125.101571;5898188;66.02943982;5603410;62.72943883;48886;46104;2;308770;295583;18;413876;381552;21;423414;414631;16;482904;490357;5;529464;528661;2;357497;398862;0;248566;318850;0;73257;134580;0;40897;38497;2;281806;271315;15;387724;355130;17;400776;390344;16;460659;466051;4;509913;509238;2;348227;388137;0;242525;310447;0;70703;129177;0;4098;4227951;531663;810718;3996617;511147;767450;327008;1161;1188
2021-10-28T23:59:59+02:00;0;;KeineZuordnung;150755;;86433;;78064;;243;233;0;4446;3883;2;11047;7793;7;10365;7065;4;8904;9278;1;5814;6395;1;2023;2440;0;1244;1675;0;335;922;0;183;169;0;3846;3367;1;9894;7018;6;9381;6384;4;8157;8423;1;5390;5918;1;1901;2301;0;1176;1597;0;300;853;0;4106;54594;8249;9751;48250;7555;8412;13746;97;101
2021-10-28T23:59:59+02:00;1;296010;Burgenland;410931;138.8233506;215422;72.77524408;207770;70.19019628;2024;1967;0;10390;9724;0;11330;10682;0;13923;14356;0;17849;18216;0;21061;20979;0;16545;17238;0;9214;11220;0;2976;5728;0;1786;1697;0;9685;9186;0;10787;10068;0;13337;13738;0;17265;17593;0;20511;20419;0;16253;16925;0;9042;11012;0;2892;5574;0;0;154674;20509;27962;148472;19803;27201;12278;16;16
2021-10-28T23:59:59+02:00;2;562089;Kärnten;665558;118.407939;350861;62.42089776;332244;59.10878882;2179;1956;0;15435;14558;0;18458;17189;0;21564;21744;0;28066;29108;1;34582;35347;0;26011;28898;0;17670;22546;0;5373;10176;0;1822;1623;0;13862;13152;0;17083;15795;0;20277;20281;0;26553;27366;1;33093;33827;0;25340;28104;0;17217;21919;0;5202;9727;0;0;253919;32646;46665;239033;30641;44954;17579;84;37
2021-10-28T23:59:59+02:00;3;1690879;Niederösterreich;2212773;130.8652482;1158500;68.51466013;1104916;65.3456575;11533;10801;0;61993;58091;1;68532;64112;1;77113;78045;0;98159;99906;0;109052;107773;0;74594;80939;0;52333;64241;0;15149;26132;0;9903;9193;0;56927;53746;1;64219;59692;1;73007;73620;0;93906;95474;0;105257;104252;0;72906;79016;0;51192;62805;0;14666;25133;0;0;853348;71581;182847;808851;68828;176391;50748;81;98
2021-10-28T23:59:59+02:00;4;1495608;Oberösterreich;1730515;115.7064552;911948;60.97506833;861953;57.63228065;6162;5953;0;45728;43691;3;59861;52124;2;63335;59653;1;74789;72919;1;88706;86546;0;60938;65162;0;39811;51181;0;12641;22741;0;5192;4968;0;41684;39971;2;55696;47980;1;59749;55744;1;70710;68480;1;84818;82748;0;59063;63016;0;38644;49549;0;12150;21786;0;0;678984;79593;109917;638069;76357;104018;43429;68;80
2021-10-28T23:59:59+02:00;5;560710;Salzburg;661827;118.0337429;349293;62.29476913;330599;58.96078187;2489;2375;0;18041;16718;2;23367;21542;0;25000;24458;0;28505;29082;0;31241;32151;0;21828;24910;0;15558;19582;0;4534;7910;0;1988;1874;0;16265;15158;2;21701;19956;0;23520;22958;0;27038;27572;0;30037;30902;0;21222;24234;0;15178;19002;0;4377;7615;0;0;243012;33005;55161;228354;31857;52251;18074;50;63
2021-10-28T23:59:59+02:00;6;1247077;Steiermark;1576020;126.3771203;824088;66.08156513;789736;63.32696377;5947;5548;0;40120;38512;1;55391;49691;4;55952;54312;1;66448;66083;0;75826;75636;0;54459;60069;0;37534;48527;0;11709;22318;0;5009;4673;0;37006;35662;1;52356;46599;4;53390;51537;1;63865;63319;0;73636;73419;0;53304;58736;0;36777;47456;0;11370;21616;0;0;601078;79351;105798;573418;76637;101817;37807;57;57
2021-10-28T23:59:59+02:00;7;760105;Tirol;934520;122.9461719;492521;64.7964426;463443;60.97091849;4251;3949;1;26465;25371;2;35804;33114;2;35393;35260;3;40647;40924;2;43967;43947;1;28612;31861;0;20345;25487;0;6365;10748;0;3578;3237;1;23898;22977;1;33174;30372;1;33241;32953;3;38482;38547;1;41910;41966;1;27689;30784;0;19706;24599;0;6102;10220;0;0;347285;45938;77777;326107;44315;71513;21450;77;58
2021-10-28T23:59:59+02:00;8;399237;Vorarlberg;486328;121.8143609;253113;63.39918394;245647;61.52911679;2093;1977;0;14470;13374;1;17289;15771;0;18856;18569;0;21840;21733;0;23109;22000;0;14863;16055;0;10169;12422;0;3109;5413;0;1806;1714;0;13534;12630;1;16578;15067;0;18311;17942;0;21385;21222;0;22725;21593;0;14664;15818;0;10048;12268;0;3042;5299;0;0;182058;22974;35618;175905;22592;34664;12448;31;38
2021-10-28T23:59:59+02:00;9;1920949;Wien;2359911;122.8513094;1264452;65.82433995;1195435;62.23148038;12294;11671;1;72593;72446;6;113908;110419;5;102790;101896;7;98425;103651;0;96524;98198;0;57725;71467;0;44747;62067;0;11084;22528;0;9925;9640;1;65852;66154;6;106894;103203;4;97060;95684;7;93730;98490;0;92843;94479;0;56047;69381;0;43625;60364;0;10629;21417;0;0;866519;138129;159228;815728;132753;146260;100054;600;640
2021-10-28T23:59:59+02:00;10;8932664;Österreich;11189138;125.26093;5906631;66.12395809;5609807;62.80105241;49215;46430;2;309681;296368;18;414987;382437;21;424291;415358;16;483632;490900;5;529882;528972;2;357598;399039;0;248625;318948;0;73275;134616;0;41192;38788;2;282559;272003;15;388382;355750;17;401273;390841;16;461091;466486;4;510220;509523;2;348389;388315;0;242605;310571;0;70730;129240;0;4106;4235471;531975;810724;4002187;511338;767481;327613;1161;1188
2021-10-29T23:59:59+02:00;0;;KeineZuordnung;151427;;86965;;78356;;244;235;0;4487;3900;2;11152;7822;7;10474;7101;4;8964;9333;1;5839;6423;1;2025;2448;0;1247;1675;0;335;922;0;183;170;0;3867;3378;1;9946;7043;6;9435;6411;4;8190;8452;1;5404;5929;1;1902;2305;0;1177;1597;0;301;853;0;4124;54958;8265;9751;48377;7568;8412;13898;97;101
